ProductId TrailId
1	103
1	103
1	102
1	101
1	101
2	102
2	103
2	100
2	100
2	103
3	101
3	102
3	103
3	102
3	103
4	102
4	102
4	100
4	101
4	103
5	102
5	103
5	102
5	101
5	103
6	103
6	101
6	100
6	102
6	101
7	102
7	100
7	100
7	100
7	100
8	102
8	102
8	101
8	100
8	101
9	100
9	102
9	102
9	102
9	101
10	103
10	102
10	101
10	100
10	103
11	100
11	101
11	100
11	100
11	100
12	102
12	100
12	101
12	100
12	103
13	102
13	103
13	102
13	103
13	102
14	103
14	103
14	101
14	101
14	101
15	103
15	100
15	100
15	100
15	103
16	100
16	100
16	100
16	103
16	103
17	100
17	100
17	100
17	102
17	100
18	101
18	100
18	100
18	100
18	102
19	101
19	101
19	101
19	101
19	103
20	100
20	103
20	103
20	103
20	102
21	100
21	100
21	103
21	103
21	100
22	103
22	101
22	100
22	101
22	100
23	101
23	100
23	102
23	100
23	102
24	102
24	103
24	100
24	102
24	101
25	102
25	102
25	101
25	103
25	103
